"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","834","","","","0"
"2016","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","876","","","","0"
"2017","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","911","","","","0"
"2018","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","937","","","","0"
"2019","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","962","","","","0"
"2020","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","1013","","","","0"
"2021","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","1119","","","","0"
"2022","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","1083","","","","0"
"2023","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","1190","","","","0"
"2024","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","1239","","","","0"
"2025","Charlottetown, Prince Edward Island","2011S0504105","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823112","7.3.3","1354","","","","0"
"2015","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","927","","","","0"
"2016","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","961","","","","0"
"2017","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1110","","","","0"
"2018","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1186","","","","0"
"2019","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1301","","","","0"
"2020","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1421","","","","0"
"2021","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1453","","","","0"
"2022","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1282","","","","0"
"2023","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1439","","","","0"
"2024","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1576","","","","0"
"2025","Charlottetown, Prince Edward Island","2011S0504105","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823648","7.2.3","1719","","","","0"
"2015","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","830","","","","0"
"2016","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","872","","","","0"
"2017","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","901","","","","0"
"2018","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","921","","","","0"
"2019","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","937","","","","0"
"2020","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","978","","","","0"
"2021","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","1088","","","","0"
"2022","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","1067","","","","0"
"2023","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","1166","","","","0"
"2024","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","1196","","","","0"
"2025","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824184","7.1.3","1300","","","","0"
"2015","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","832","","","","0"
"2016","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","876","","","","0"
"2017","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","901","","","","0"
"2018","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","922","","","","0"
"2019","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","936","","","","0"
"2020","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","983","","","","0"
"2021","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","1090","","","","0"
"2022","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","1071","","","","0"
"2023","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","1171","","","","0"
"2024","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","1200","","","","0"
"2025","Charlottetown, Prince Edward Island","2011S0504105","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824828","7.4.3","1306","","","","0"


